MonomerID,smiles,target
81561,CC(Br)Cc1ccc(O)c(c1)-c1ccc(O)c(CC=C)c1,P21554
6157,CCN(CC)CCCCCNc1cc2nc(NC(=O)NC(C)(C)C)c(cc2cn1)-c1cc(OC)cc(OC)c1,P11362
34150,Cc1cn(c2ccccc12)S(=O)(=O)c1ccc(N)cc1,P50406
496840,C[C@@H](NC(=O)c1cc(NC2CNC2)ccc1C)c1cccc(c1)-c1ccc(CNC2CCN(C)CC2)s1,P0DTD1
3226,Oc1ccc(cc1)C(=O)N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C2OC(=O)c3cccc(O)c23)c(O)c1,P05771
30303,OCC1CNC(=O)c2cc3ccc(cc3n2C1)C(=O)Nc1nccs1,P49137
496077,Cc1cc(nc2n(nc(N)c12)C(=O)C1CCOc2ccc(Cl)cc12)C(F)(F)F,P0DTD1
3242,Oc1ccc(cc1)C(=O)N[C@@H]1CCC[C@H]1OC(=O)c1cc(O)c(c(O)c1)-c1n[nH]c(=O)c2cccc(O)c12,P17252
29579,COc1ccc(CN2C(=O)C(=C(C#N)C#N)c3cc(ccc23)S(=O)(=O)N2CCSCC2)cc1,P55212
185673,Cc1nc(Nc2ncc(s2)C(=O)Nc2ccc(Oc3ccccc3)cc2C)cc(n1)N1CCN(CCO)CC1,P00519
192740,Cc1cc(NC(=O)Nc2ccc(-c3nc(n4ccnc(N)c34)C3(C)CC3)c3ccccc23)n[nH]1,O75460
21367,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc23)CC1,P32305
1263,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cc2ccccc2[nH]1)C(N)=O,P04585
19578,COc1ccc(NCCNC(=O)[C@H](CC2CCCCC2)NC(=O)C2CCN(CC2)c2ncc(Br)cn2)cc1,P25774
26804,CC(C)(F)c1nc2ccccc2n1Cc1ccc(cc1)C(=O)N[C@@H]1CCOC[C@@H]1C(=O)NO,O77636
10334,Oc1ccc(CN2C(=O)C(=O)c3cc(ccc23)S(=O)(=O)N2CCC[C@H]2COc2ccccc2)cc1,Q14790
3630,Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,P00533
22640,CN1CCN(CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C)C(=O)c1ccccc1,P04585
4055,CC(C)(C)OC(=O)Cn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,P12931
496302,CC(C)(C)c1ccc(cc1)-c1nnc(Sc2cnc(s2)[N+]([O-])=O)o1,P0DTD1
92449,NC(=O)[C@H](CCC(O)=O)NC(=O)CCc1ccc(cc1)-c1ccc(s1)-c1ccccc1,P09238
93342,CCOc1ccccc1C=O,P04585
13566,CCOc1cc(O[C@H]2CCOC2)cc(c1)C(Nc1ccc(cc1)C(N)=N)C(O)=O,P00742
495692,Cn1cc(cn1)C1=NOC(C1)C(=O)NC(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1,P0DTD1
9876,CC(C)CN([C@@H](CNC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O)S(=O)(=O)c1ccc(C)cc1,P03367
10614,CNC(=O)Oc1ccc2N(C)C3OCC[C@@]3(C)c2c1,P06276
234397,Oc1ccc(C(=O)c2ccccc2O)c(O)c1O,Q00024
27816,COc1cc2CCCN(C(=O)CCN(C)C)c2cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1,P08069
26912,CC(C)N(CCN1CN(c2ccccc2)C2(CCN(CC2)C(c2ccccc2Cl)c2ccccc2Cl)C1=O)C(C)C,P41143
25489,COc1ccc(cc1)C1=NC(C)=C(C(C)N1)C(=O)Nc1ccc2[nH]ncc2c1,Q13464
106776,Oc1cc2occ(-c3cccc(Cl)c3)c(=O)c2cc1O,P16050
512601,CC(C)C[C@H](NC(=O)\C=C\c1ccccc1)C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O,P0C6X7
29777,CCc1cn2CCS(=O)(=O)N(C)c3cc(cc1c23)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCCC(F)(F)F,P56817
20762,CCCCn1c(Sc2nc3ccc(Cl)c(Cl)c3s2)nc2c(N)ncnc12,P08238
26828,CN(C(=O)c1ccccc1)c1ccc2n(CCC(N)=O)c(NC(=O)c3ccc(Cl)s3)nc2c1,Q08881
23163,CCCCCCCCc1ccc(CCC(N)(CO)COP(O)(O)=O)cc1,O95136
2715,Cn1cc(C2=C(C(=O)NC2=O)c2c3C[C@H](CN)CCn3c3ccccc23)c2ccccc12,P68403
26375,Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc1cnc(NCCN2CCOCC2)nc1,Q16539
119876,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2cc(Br)cnc2N)cc1Cl,P9WHH8
17825,CN1CCN(CCNc2nc3ccc(Oc4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4)cc3[nH]2)CC1,Q02763
50193145,OC(=O)CNC(=O)c1nc(Cl)c2ccccc2c1O,B2RXH2
29792,CCN1c2cc(cc3c(CC)cn(CCS1(=O)=O)c23)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CCCCC1,P07339
91639,Oc1ccccc1C(=O)\C=C\c1ccc(OC=O)c(OC=O)c1,P07374
22800,CC(C)(C)c1ccc(NCN2C(=O)C(=O)c3ccccc23)cc1,P23141
18721,COc1ccc(F)cc1-c1ccc2NC(C)(C)C=C(CSCCc3ccccc3)c2c1,P08235
12028,Nc1n[nH]c(N)c1N=Nc1ccc(O)cc1,P11802
10189,OC(=O)C[C@H](NC(=O)C(CCCCNS(=O)(=O)c1ccc(O)c(c1)C(O)=O)c1ccccc1F)C=O,P42574
479488,O=C(Cn1nnc2ccccc12)N(Cc1cscn1)c1ccc(cc1)-c1cccnc1,P0C6X7
97548,COCc1ccc(Nc2cncnc2)c(n1)C(=O)Nc1cc(nn1C)-c1ccccn1,Q9Y233
18761,Oc1ccc(cc1F)C1(OC(=O)c2c1ccc1ccccc21)c1ccc(O)c(F)c1,P00469
50319619,Cc1nc(C)c(s1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1,P24385
9728,CCCC(NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCC(C)C)C1CCCCC1)C(=O)C(=O)NCC(=O)N[C@H](C(=O)OC(C)(C)C)c1ccccc1,P27958
59100,Cc1ccc(Oc2ccc(NC(=O)CN3C(=S)S\C(=C/c4ccc(O)c(O)c4)C3=O)cc2)cc1,P06149
178050,COc1ccc(cc1OC)C(O)C1CCC=C1c1ccc(OC)c(OC)c1,P00915
5314,CC(=O)Nc1oc(nc1-c1ccccc1)-c1cncc(c1)-c1cccc(F)c1,P35968
27824,CCCN1CCC=C(C1)c1ccc(Nc2nc(Nc3cc(F)ccc3C(N)=O)c3cc[nH]c3n2)c(OC(C)C)c1,P08069
496708,ClCC(=O)N1CCN(Cc2cnc(Cc3ccccc3)s2)CC1,P0DTD1
92475,NS(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCc4ccccc34)ncnc12,P22314
19598,COc1cccc(c1)C(=O)N[C@@H](CCC1CCCCC1)C(=O)N[C@@H](COCc1ccccc1)CN1CCc2cc(F)ccc12,P07711
16378,CCCNc1nnc2ccc(cn12)-c1ocnc1-c1ccc(F)cc1,Q16539
20141,COc1cccc(C2SC(=NN2C(=O)c2cccc(F)c2)c2ccc(F)c(F)c2)c1OC,Q13133
21093,Nc1noc2cccc(-c3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12,P35968
16238,OC(=O)COc1cc(Cl)ccc1C(=O)NCc1ccc(Br)cc1F,O60218
5356,COc1cccnc1Nc1ncc(s1)-c1ccccc1,P35968
109235,OC(=O)c1nc(sc1CCCCc1ccccc1)-c1ccc2CCCC(=NNc3nc4ccccc4s3)c2c1,Q07817
28411,NCCCNc1cncc(n1)-c1cccc(\C=C\C(O)=O)c1,Q9P1W9
98047,N[C@@H](Cc1ccccc1)C(=O)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,P27487
495477,CN(C)CC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,P0DTD1
232201,CCCCCCNC(=O)\C=C\c1cc(OC)c(OC)c(OC)c1,P34969
15012,CCOC(=O)c1[nH]c(C=O)c(C(=O)OCC)c1CC,P08069
191602,Cn1cc(Nc2cnccc2C(O)=O)c2cccnc12,P29375
26923,Clc1cccc(Cl)c1CN1CCC2(CC1)N(CN(CCNCC1CC1)C2=O)c1ccccc1,P41145
30384,CCOc1ccc(cc1)-c1ccc(s1)S(=O)(=O)N[C@H](C1CCN(CC1)C(=O)OC1CCOCC1)C(O)=O,P45452
